run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 59,3400; 26,0400; 41,5400
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 56,0200; 24,3900; 40,3700
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,4300; 73,8500; 84,4600
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 87,5600; 46,2400; 62,9900
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 83,6600; 46,0700; 59,0500
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 91,1000; 60,5000; 74,4200
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 57,4800; 24,2700; 39,8400
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 54,8300; 22,0000; 36,6000
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,4500; 72,7400; 84,1800
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 86,7400; 44,8100; 60,7900
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 83,6000; 48,1200; 60,4700
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 90,5400; 63,5800; 75,9100
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 50,1500; 18,8400; 33,7000
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 48,0200; 18,9400; 32,5400
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 94,3500; 66,0400; 77,7900
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 88,4300; 47,7300; 63,4100
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 84,1700; 50,1000; 61,1000
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 87,6400; 49,4100; 64,9800
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 56,0600; 26,0500; 41,0000
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 53,3100; 25,4300; 39,4900
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 95,3800; 73,5000; 85,2100
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 89,7200; 47,4100; 64,8200
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 86,5800; 51,9300; 63,6600
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 92,1500; 63,8100; 77,1400
train_mask2former_sc_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 52,8400; 22,6200; 34,1400
train_mask2former_sc_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 50,6300; 21,0600; 33,9100
train_mask2former_sc_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,6500; 61,3300; 74,1000
train_mask2former_sc_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 81,7300; 33,9300; 44,5300
train_mask2former_sc_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 78,3600; 37,8500; 46,0400
train_mask2former_sc_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 83,8000; 48,1100; 60,6600
