run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 59,1800; 21,4300; 36,0000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 56,7400; 21,0600; 36,8500
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,0000; 66,0100; 75,9600
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 86,9100; 41,9600; 57,0800
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 81,5400; 37,2800; 50,5500
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 89,9500; 52,6400; 63,5000
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 55,6600; 19,7500; 32,4700
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 51,4800; 18,1900; 32,5600
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,7900; 67,5100; 78,0900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 83,0200; 36,5200; 47,8900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 76,1900; 32,3500; 44,2100
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 86,6100; 47,0600; 58,7500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,0400; 20,1400; 31,8400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 52,5300; 18,1500; 31,8700
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,3500; 65,2000; 76,8700
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 83,8300; 37,3700; 49,2800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 71,6900; 29,5800; 42,8000
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 87,3600; 48,4900; 60,9400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 58,0000; 21,6200; 33,3400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 54,3400; 20,3900; 34,4500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 94,0500; 65,3200; 76,2400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 85,5900; 36,8400; 45,9400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 80,2900; 34,8600; 45,7800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 89,5000; 51,1800; 60,8300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 54,1100; 20,5300; 32,0600
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 49,5000; 19,8100; 33,8400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 93,3900; 60,8600; 70,8000
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 84,2700; 35,4800; 45,4800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 73,4100; 29,7500; 40,5900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 85,7300; 43,6200; 54,3100
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 58,8500; 20,0700; 33,8300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 56,5800; 19,8000; 33,4700
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,7900; 64,3600; 75,2900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 85,5200; 38,2200; 51,7200
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 77,9000; 35,6000; 47,5800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 90,1200; 51,1100; 61,9000
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,4100; 19,2900; 33,5900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 53,1800; 18,2200; 33,3100
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,9400; 67,2500; 76,8700
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 85,4500; 36,5100; 49,1800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 81,2400; 32,7400; 45,7300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 88,8200; 48,9100; 61,9700
